Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Single,False,1,TOP,1,0,0,,,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Stolen Base 2B,True,1,TOP,2,0,0,660670.0,,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Strikeout,False,1,TOP,2,0,0,,660670.0,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Walk,False,1,TOP,3,0,1,,660670.0,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Flyout,False,1,TOP,4,0,1,663586.0,660670.0,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Strikeout,False,1,TOP,5,0,2,663586.0,,660670.0,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Single,False,1,BOTTOM,6,0,0,,,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Grounded Into DP,False,1,BOTTOM,7,0,0,657041.0,,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Groundout,False,1,BOTTOM,8,0,2,,,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
Groundout,False,2,TOP,9,0,0,,,,571578,608331,657041,608841,600869,642086,660688,669743,671277,645302,682928,660670,621566,663586,645277,669221,542303,671739,518595,606115,608841,660688,642086,671277,600869,682928,669743.0,645302,657041,518595,669221,621566,645277,663586,606115,542303,671739,660670
