Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Strikeout,False,1,TOP,1,0,0,,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Groundout,False,1,TOP,2,0,1,,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Single,False,1,TOP,3,0,2,,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Stolen Base 2B,True,1,TOP,4,0,2,Jose Ramirez,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Walk,False,1,TOP,4,0,2,,Jose Ramirez,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Strikeout,False,1,TOP,5,0,2,Josh Bell,Jose Ramirez,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Single,False,1,BOTTOM,6,0,0,,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Flyout,False,1,BOTTOM,7,0,0,Julio Rodriguez,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Stolen Base 2B,True,1,BOTTOM,8,0,1,Julio Rodriguez,,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
Game Advisory,False,1,BOTTOM,8,0,1,,Julio Rodriguez,,Logan Gilbert,Aaron Civale,Julio Rodriguez,Kolten Wong,Ty France,Eugenio Suarez,Jarred Kelenic,Teoscar Hernandez,Tommy La Stella,Tom Murphy,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Oscar Gonzalez,Andres Gimenez,Myles Straw,Cam Gallagher,Tommy La Stella,Tom Murphy,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Cam Gallagher,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Oscar Gonzalez
