Event_Type,Is_Decision,Inning,Half,At_Bat,Score_Deficit,Outs,First_Base,Second_Base,Third_Base,Home_Pitcher,Away_Pitcher,Home_Lineup_1,Home_Lineup_2,Home_Lineup_3,Home_Lineup_4,Home_Lineup_5,Home_Lineup_6,Home_Lineup_7,Home_Lineup_8,Home_Lineup_9,Away_Lineup_1,Away_Lineup_2,Away_Lineup_3,Away_Lineup_4,Away_Lineup_5,Away_Lineup_6,Away_Lineup_7,Away_Lineup_8,Away_Lineup_9,Home_DESIGNATED_HITTER,Home_CATCHER,Home_FIRST_BASE,Home_SECOND_BASE,Home_THIRD_BASE,Home_SHORTSTOP,Home_LEFT_FIELD,Home_CENTER_FIELD,Home_RIGHT_FIELD,Away_DESIGNATED_HITTER,Away_CATCHER,Away_FIRST_BASE,Away_SECOND_BASE,Away_THIRD_BASE,Away_SHORTSTOP,Away_LEFT_FIELD,Away_CENTER_FIELD,Away_RIGHT_FIELD
Pop Out,False,1,TOP,1,0,0,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Strikeout,False,1,TOP,2,0,1,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Groundout,False,1,TOP,3,0,2,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Strikeout,False,1,BOTTOM,4,0,0,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Flyout,False,1,BOTTOM,5,0,1,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Single,False,1,BOTTOM,6,0,2,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Strikeout,False,1,BOTTOM,7,0,2,Ty France,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Groundout,False,2,TOP,8,0,0,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Flyout,False,2,TOP,9,0,1,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
Pop Out,False,2,TOP,10,0,2,,,,Luis Castillo,Shane Bieber,Julio Rodriguez,Kolten Wong,Ty France,Teoscar Hernandez,Cal Raleigh,Eugenio Suarez,Jarred Kelenic,Tommy La Stella,J.P. Crawford,Steven Kwan,Amed Rosario,Jose Ramirez,Josh Bell,Josh Naylor,Andres Gimenez,Will Brennan,Mike Zunino,Myles Straw,Tommy La Stella,Cal Raleigh,Ty France,Kolten Wong,Eugenio Suarez,J.P. Crawford,Jarred Kelenic,Julio Rodriguez,Teoscar Hernandez,Josh Bell,Mike Zunino,Josh Naylor,Andres Gimenez,Jose Ramirez,Amed Rosario,Steven Kwan,Myles Straw,Will Brennan
